"code","aliases","name","description","timezone","country","useAliases","excludeFromSearch","latitude","longitude","m2iorigin"
"PNS","","Pensacola, FL","","EST","",0,0,30.4734,-87.1866,0
"POP","","Puerto Plata","","EST","",0,0,0,0,0
"POS","","Trinidad - Port of Spain","","GMT-04:00","Trinidad",0,0,0,0,0
"PSP","","Palm Springs, CA","","PST","USA",0,0,33.8297,-116.507,0
"PTP","","Le Razier Airport","","GMT","Guadelupe",0,0,0,0,0
"PTY","","Panama City - Panama","","EST","Panama",0,0,0,0,0
"PUB","","Pueblo, CO","","MST","USA",0,0,38.2891,-104.496,0
"PUJ","","Punta Cana","","GMT-04:00","",0,0,0,0,0
"PVD","","Providence, RI","","EST","",0,0,41.724,-71.4282,0
"PVR","","Puerto Vallarta","","CST","",0,0,0,0,0
"PWM","","Portland, ME","","EST","USA",0,0,43.6462,-70.3093,0
"RAP","","Rapid City, SD","","MST","USA",0,0,44.0453,-103.057,0
"RDU","","Raleigh Durham, NC","","EST","",0,0,35.8776,-78.7875,1
"RFD","","Rockford, IL","","CST","USA",0,0,42.1952,-89.0972,0
"RIC","","Richmond, VA","","EST","",0,0,37.5052,-77.3197,0
"RNO","","Reno, NV","","PST","",0,0,39.4991,-119.768,0
"ROA","","Roanoke, VA","","EST","USA",0,0,37.3255,-79.9754,0
"ROC","","Rochester, NY","","EST","USA",0,0,43.1189,-77.6724,0
"RST","","Rochester, MN","","CST","USA",0,0,43.9083,-92.5,0
"RSW","","Fort Myers, FL","","EST","USA",0,0,0,0,0
"RTB","","Roatan","","Central Time Zone","Roatan",0,0,0,0,0
"SAB","","Saba","","AST","Saba",0,0,0,0,0
"SAN","","San Diego, CA","","PST","",0,0,32.7336,-117.19,0
"SAT","","San Antonio, TX","","CST","",0,0,29.5337,-98.4698,0
"SAV","","Savannah, GA","","EST","USA",0,0,32.1276,-81.2021,0
"SBH","","St Barthelemy - Gustavia","","AST","",0,0,0,0,0
"SDF","","Louisville, KY","","EST","",0,0,38.1741,-85.7365,0
"SDQ","","Santo Domingo-Dominican Republic","","GMT-04:00","",0,0,0,0,0
"SEA","","Seattle, WA","","PST","",0,0,47.4499,-122.312,0
"SFO","","San Francisco, CA","","PST","USA",0,0,37.619,-122.375,1
"SGF","","Springfield, MO","","CST","USA",0,0,37.2457,-93.3886,0
"SHV","","Shreveport, LA","","CST","USA",0,0,32.4466,-93.8256,0
"SJC","","San Jose, CA","","PST","USA",0,0,37.3627,-121.929,0
"SJD","","San Jose Del Cabo","","MST","Mexico",0,0,0,0,0
"SJO","","San Jose - Costa Rica","","CST","Costa Rica",0,0,0,0,0
"SJU","","San Juan Puerto Rico","","GMT-04:00","",0,0,0,0,0
"SKB","","St Kitts","","GMT-04:00","",0,0,0,0,0
"SLC","","Salt Lake City, UT","","MST","",0,0,40.7884,-111.978,0
"SLU","","St Lucia Castries","","GMT-04:00","",0,0,0,0,0
"SMF","","Sacramento, CA","","PST","",0,0,38.6954,-121.591,0
"SNA","","Orange County/Anaheim, CA","","PST","USA",0,0,33.6757,-117.868,0
"SNN","","Shannon, IE","","UCT","Ireland",0,0,0,0,0
"SOU","","Southampton, GB","","UCT","United Kingdom",0,0,0,0,0
"SPR","","San Pedro, Ambergris Caye","","Central","Belize",0,0,0,0,0
"STI","","Santiago","","AST","Dominican Republic",0,0,0,0,0
"STL","","St. Louis, MO","[undefined]","CST","USA",0,0,38.7487,-90.37,1
"STT","","St Thomas","","GMT-04:00","",0,0,0,0,0
"STX","","St Croix","","GMT-04:00","",0,0,0,0,0
"SVD","","St Vincent","","AST","",0,0,0,0,0
"SWS","","Swansea, GB","","UCT","United Kingdom",0,0,0,0,0
"SXM","","St. Martin","","GMT-04:00","",0,0,0,0,0
"SYR","","Syracuse, NY","","EST","USA",0,0,43.1112,-76.1063,0
"TAB","","Tobago","","GMT-04:00","Tobago",0,0,0,0,0
"TCB","","Treasure Cay Airport","","EST","The Bahamas",0,0,0,0,0
"TLH","","Tallahassee, FL","","EST","USA",0,0,30.3965,-84.3503,0
"TPA","","Tampa, FL","","EST","",0,0,27.9755,-82.5332,1
"TUL","","Tulsa, OK","","CST","",0,0,36.1984,-95.8881,0
"TUS","","Tucson, AZ","","MST","USA",0,0,32.1161,-110.941,0
"TYS","","Knoxville, TN","","CST","USA",0,0,35.811,-83.994,0
"UVF","SLU","Hewanorra St Lucia","","AST","St Lucia",0,1,0,0,0
"VER","","Las Bajadas - Veracruz","",1,"Mexico",0,0,0,0,0
"VIJ","","Virgin Gorda BVI","","AST","BVI",0,0,0,0,0
"VQS","","Vieques, Puerto Rico","","GMT-04:00","Puerto Rico",0,0,0,0,0
"WAS","","Washington DC - All Airports","","EST","USA",0,0,0,0,1
"XNA","","Fayetteville, AR","","CST","",0,0,36.2816,-94.3078,0
"YEG","","Edmonton, AB","","MST","",0,0,53.3097,-113.58,0
